date,London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3),All respiratory deaths,Bronchiectasis,COPD
2015-04,56.2,33.4,25.5,16.1,1.2,33.9,46.8,19.1,14.1,4.4,5894,140,2276
2015-05,48.6,41.6,20.1,10.5,3.0,24.6,54.1,14.4,8.7,2.8,5144,138,2058
2015-06,50.5,37.3,22.6,12.8,5.3,26.1,50.3,17.1,10.8,4.0,4586,117,1800
2015-07,49.5,34.4,20.0,11.2,6.0,23.9,46.2,15.2,9.5,3.5,3975,121,1641
2015-08,49.0,29.0,20.5,12.2,0.5,26.3,40.4,15.8,9.3,4.0,4245,104,1688
2015-09,57.0,21.2,20.4,12.6,1.0,32.6,31.4,15.0,8.1,3.6,4260,105,1614
2015-10,58.5,18.3,26.0,18.6,0.0,35.6,24.5,20.1,12.8,3.7,5005,120,1942
2015-11,53.9,24.9,21.8,12.7,3.0,29.5,34.3,16.2,9.1,3.5,4929,123,1936
2015-12,47.2,32.6,24.1,11.9,1.6,24.2,44.1,19.1,8.2,3.6,6107,157,2490
2016-01,60.0,23.8,23.2,13.6,3.9,38.2,32.7,16.5,9.1,4.7,7242,173,2810
2016-02,58.7,27.4,23.1,13.0,4.0,36.5,38.1,16.8,9.8,3.9,6722,179,2687
2016-03,57.6,30.2,26.1,18.0,3.5,34.3,41.2,18.8,15.6,2.3,7376,196,2819
2016-04,58.8,33.9,21.1,12.5,5.9,30.3,46.5,14.5,8.7,3.4,6116,156,2343
2016-05,50.9,39.7,22.4,13.8,4.0,26.1,53.2,17.0,10.7,3.3,5079,122,2030
2016-06,48.7,31.5,21.3,12.6,6.1,24.9,43.9,16.1,9.7,4.4,4594,120,1823
2016-07,45.4,24.2,17.0,10.9,2.5,21.3,36.6,13.0,6.8,2.5,4655,135,1837
2016-08,47.6,27.2,20.7,12.7,2.0,23.6,39.7,16.8,8.6,3.1,4284,130,1750
2016-09,54.7,21.6,21.5,12.9,2.5,28.2,30.0,16.8,8.7,3.8,3923,126,1544
2016-10,58.3,15.3,24.3,16.8,5.0,33.7,20.0,19.9,12.0,3.2,5005,133,1925
2016-11,66.1,15.4,24.6,14.5,6.1,41.4,20.9,19.1,11.6,4.9,5598,161,2185
2017-02,54.7,25.5,25.6,18.4,5.1,33.9,32.8,21.2,16.2,4.2,6999,162,2644
2017-03,52.9,33.7,23.1,13.5,2.4,31.9,43.9,17.8,12.0,3.6,5892,154,2251
2017-04,51.2,38.3,22.4,12.8,3.4,28.7,51.2,17.5,11.3,2.9,5114,125,2089
2017-05,47.4,34.3,22.3,12.8,2.1,26.8,48.3,18.0,11.4,3.4,5095,134,2003
2017-06,45.6,34.3,21.1,11.4,1.9,22.7,50.6,16.4,9.5,2.9,4403,138,1740
2017-07,42.0,27.5,17.2,9.4,0.8,21.2,42.4,13.0,7.5,3.1,4142,129,1664
2017-08,44.2,23.6,17.8,10.2,0.6,24.4,36.8,13.8,8.7,1.4,4274,117,1678
2017-09,47.8,20.2,19.2,12.1,1.8,27.7,31.2,14.1,10.4,1.3,4347,111,1745
2017-10,47.4,22.8,20.0,10.8,1.6,28.5,32.0,15.6,9.3,3.3,4948,129,1964
2017-11,57.0,17.1,22.8,13.4,4.5,38.6,23.8,17.5,11.8,2.9,5520,131,2214
2017-12,52.8,21.8,17.5,9.9,5.6,36.1,28.8,13.0,9.4,1.9,8239,181,3222
2018-02,51.5,26.1,23.5,11.9,3.1,35.2,36.4,16.9,12.5,1.5,7975,181,2844
2018-03,51.1,29.8,26.3,15.0,4.0,34.4,42.4,20.2,13.6,1.8,8175,196,2962
2018-04,46.8,35.5,25.7,16.8,1.3,28.7,50.6,20.8,14.6,1.1,5825,146,2178
2018-05,49.3,40.9,29.3,18.9,1.4,28.3,59.8,24.0,16.1,3.8,4828,142,1911
2018-06,39.4,36.5,21.3,10.4,2.7,20.0,55.5,16.6,8.7,2.0,4293,111,1702
2018-07,45.5,38.1,22.9,11.8,-1.7,23.3,62.6,18.6,10.1,2.4,4337,127,1765
2018-08,39.2,22.5,16.3,7.9,1.8,20.6,37.3,11.9,6.4,1.9,3810,114,1553
2018-09,44.4,26.6,19.0,9.6,0.3,26.4,40.9,14.3,7.9,1.2,4005,113,1515
2018-10,47.6,20.4,19.3,11.4,-0.8,30.7,29.7,15.0,9.0,2.7,4608,115,1750
2018-11,48.1,17.6,23.6,15.2,5.9,34.3,24.0,19.7,13.5,2.1,5024,136,1975
2018-12,48.4,22.2,19.7,11.4,2.5,33.1,30.8,15.5,9.4,1.6,6356,177,2496
2019-01,54.5,18.9,22.7,13.9,2.7,39.5,29.9,18.2,13.2,2.8,8079,207,3219
2019-02,57.0,21.7,28.7,18.5,1.1,39.5,32.7,23.4,17.1,2.5,7008,191,2599
2019-03,42.6,34.9,20.9,11.3,4.9,25.7,52.7,16.6,10.9,2.3,5949,158,2308
2019-06,34.9,31.4,18.0,9.2,4.5,19.4,51.8,14.1,9.5,1.8,4429,139,1692
2019-07,36.2,28.2,18.5,9.1,5.7,18.4,50.7,13.9,8.9,2.6,4367,125,1710
