date,mean_temp,precipitation,wspd,wdir,pressure,Roadside_Nitrogen_Dioxide (ug/m3),Roadside_Ozone (ug/m3),Roadside_PM10_Particulate (ug/m3),Roadside_PM2.5_Particulate (ug/m3),Roadside_Sulphur_Dioxide (ug/m3),Background_Nitrogen_Dioxide (ug/m3),Background_Ozone (ug/m3),Background_PM10_Particulate (ug/m3),Background_PM2.5_Particulate (ug/m3),Background_Sulphur_Dioxide (ug/m3)
2008-01,7.8,2.2,19.7,219.4,101234.5,55.5,29.5,25.0,14.7,4.2,42.3,36.9,18.8,13.3,3.6
2008-02,6.5,0.5,14.5,184.2,102306.6,75.9,20.3,39.5,28.8,7.6,60.2,26.4,31.9,13.3,6.7
2008-03,7.2,2.3,19.4,246.1,100653.9,55.6,40.1,21.6,12.3,3.9,39.8,50.2,15.5,13.3,2.3
2008-04,9.4,2.1,14.8,210.6,101034.3,61.8,37.9,28.8,20.5,4.5,44.0,50.1,21.7,13.3,3.2
2008-05,15.0,2.1,14.1,106.9,101490.3,62.9,46.3,34.6,27.5,4.6,44.1,60.5,29.5,16.6,4.3
2008-06,16.0,1.5,14.4,239.0,101651.7,49.2,39.8,23.2,16.0,3.6,31.2,51.3,18.3,12.6,2.5
2008-07,18.2,2.5,15.7,222.2,101351.3,48.4,35.0,23.0,14.2,3.1,31.2,46.6,17.2,11.9,2.5
2008-08,17.3,2.1,16.4,232.1,101059.0,41.1,30.0,20.7,11.5,2.1,27.8,37.1,15.5,11.2,2.1
2008-09,14.8,1.4,12.7,164.6,101690.7,54.1,22.4,28.2,18.0,3.8,41.2,28.9,22.2,15.3,3.1
2008-10,10.9,1.5,14.4,226.5,101459.4,56.7,19.3,23.0,12.9,4.3,43.8,25.4,16.5,11.6,2.8
2008-11,8.0,2.0,15.0,200.7,101336.3,57.9,18.8,21.8,14.7,3.3,42.3,22.6,16.8,12.9,2.7
2008-12,4.5,1.3,13.7,196.5,101832.6,65.1,14.5,27.3,20.5,3.8,47.5,16.7,21.5,18.1,3.5
2009-01,3.5,2.3,13.2,168.5,101105.8,68.5,18.8,31.1,23.2,5.9,52.0,21.5,25.3,20.7,4.9
2009-02,5.0,2.5,11.9,221.1,101454.4,71.9,15.1,28.0,19.1,4.7,52.7,20.4,20.9,17.2,3.0
2009-03,8.3,1.0,15.6,235.0,101522.3,65.2,32.3,30.0,19.7,3.3,45.4,40.2,24.3,17.3,2.9
2009-04,11.6,0.9,10.9,164.9,101324.0,63.2,35.7,32.6,26.1,2.7,40.2,46.0,27.7,21.6,2.7
2009-05,14.1,1.0,16.7,180.0,101816.8,48.6,45.4,24.9,14.3,2.8,28.1,55.1,19.7,11.8,2.4
2009-06,17.3,1.1,12.9,169.6,101727.3,56.1,40.1,24.7,15.9,3.6,33.1,52.5,19.8,13.1,2.5
2009-07,18.4,2.3,16.8,224.7,101226.8,44.4,32.8,20.2,11.2,2.4,24.8,40.4,15.5,9.8,2.2
2009-08,19.0,1.3,13.2,230.8,101581.0,48.7,28.6,21.7,13.3,2.3,29.2,36.0,16.6,11.4,2.5
2009-09,16.3,1.2,13.6,161.0,102193.7,51.6,26.3,24.3,14.4,2.4,32.7,33.1,19.1,11.6,3.0
2009-10,12.9,1.3,11.4,207.0,101642.6,62.9,15.0,27.2,18.0,4.3,44.3,20.3,21.5,14.4,4.0
2009-11,10.0,4.9,18.1,217.6,100140.3,53.6,29.9,21.9,12.9,3.4,36.6,36.5,17.5,11.4,2.8
2009-12,4.2,2.7,13.2,177.1,100616.8,65.2,18.9,23.1,16.3,4.1,50.0,22.3,18.6,14.0,3.6
2010-01,2.1,1.7,11.9,176.4,101529.7,65.7,14.0,30.2,24.3,4.7,51.9,17.3,25.0,22.1,4.2
2010-02,4.4,3.6,13.5,161.0,100306.1,63.9,23.8,25.2,18.3,4.6,47.7,29.8,19.4,15.9,3.2
2010-03,7.4,1.3,14.3,178.6,101654.2,59.8,26.4,25.6,15.9,3.4,40.8,42.5,19.4,14.1,2.7
2010-04,10.7,0.8,12.5,176.7,101953.0,60.2,37.2,29.8,18.8,4.6,41.9,50.2,24.3,16.3,4.1
2010-05,12.5,0.7,12.5,142.1,101739.0,53.2,35.1,24.5,16.2,3.9,33.1,47.2,19.9,13.2,3.2
2010-06,17.8,0.4,12.6,156.4,101745.0,53.9,34.0,26.5,17.4,4.4,33.7,50.2,22.0,15.1,3.2
2010-07,20.0,0.6,14.3,231.0,101548.4,46.5,28.6,20.9,12.5,3.1,25.1,42.8,16.5,8.9,2.6
2010-08,17.4,2.9,14.5,243.1,101429.0,46.6,24.2,18.1,11.0,3.3,26.1,35.9,15.4,8.9,2.0
2010-09,15.4,1.3,13.7,224.0,101509.3,57.2,20.3,23.8,14.5,3.6,35.4,31.8,14.5,11.4,2.7
2010-10,11.8,2.4,13.6,182.3,101316.8,59.6,19.2,25.2,15.9,3.6,38.5,27.7,20.0,13.0,2.7
2010-11,6.5,1.1,14.0,192.6,100592.0,65.7,15.4,28.2,21.9,4.2,46.9,20.4,22.5,18.2,3.7
2010-12,1.2,0.7,11.1,149.7,101476.8,71.3,10.7,27.2,22.6,3.9,53.9,13.9,21.7,19.2,3.7
2011-01,5.1,2.5,13.4,224.7,101870.3,61.8,21.5,24.4,17.0,3.4,44.4,26.5,19.4,14.6,3.5
2011-02,7.5,1.5,15.9,182.8,101450.7,60.4,23.5,32.6,24.3,2.9,41.2,31.3,26.5,19.9,2.3
2011-03,8.1,0.5,12.8,119.5,102253.2,69.0,23.0,43.3,32.6,3.8,49.7,32.5,36.9,29.9,4.1
2011-04,14.2,0.1,12.8,148.9,101955.0,63.4,38.7,39.2,28.2,3.1,40.4,52.9,34.2,25.7,4.4
2011-05,14.4,0.8,18.2,210.2,101799.7,49.4,42.4,23.7,13.0,2.4,26.2,57.4,19.1,11.3,3.2
2011-06,15.9,2.8,15.4,212.0,101537.7,50.1,30.3,20.7,12.0,2.2,25.5,43.1,15.7,10.5,2.8
2011-07,17.2,1.6,12.6,198.1,101331.9,51.5,32.8,21.0,12.8,2.6,25.9,46.0,16.7,11.5,2.6
2011-08,17.6,2.2,12.9,211.2,101315.5,42.2,23.2,20.4,11.9,2.9,21.2,27.1,12.1,10.4,3.2
2011-09,16.9,1.2,15.4,209.5,101370.0,55.6,24.1,26.5,14.9,2.1,31.4,34.1,20.3,12.9,3.8
2011-10,14.1,0.6,16.2,195.7,101721.6,60.1,22.6,25.5,14.7,2.8,37.3,30.1,19.0,14.0,4.2
2011-11,10.5,1.0,13.0,145.4,101702.3,48.8,10.9,35.4,25.2,3.4,42.6,17.3,27.8,23.5,5.1
2011-12,6.9,2.0,19.7,246.6,101195.2,58.1,25.9,19.1,9.2,2.9,36.0,33.6,12.9,9.5,4.1
2012-01,6.6,1.1,16.5,205.1,102117.1,62.3,20.6,26.5,15.8,3.0,40.6,27.4,20.0,15.2,4.0
2012-02,4.7,0.6,13.1,229.1,102989.7,69.9,19.7,35.0,21.5,3.5,45.6,27.2,26.0,20.9,4.2
2012-03,9.7,0.5,11.4,197.3,102782.9,72.8,21.0,42.6,30.3,3.6,47.6,28.6,35.5,28.5,5.0
2012-04,9.1,3.3,14.6,208.5,100410.7,59.0,40.9,21.8,13.3,2.2,31.9,52.8,16.0,11.6,3.9
2012-05,14.0,0.8,13.7,152.2,101655.5,57.5,43.2,29.4,18.6,2.4,29.6,56.8,23.5,16.2,3.5
2012-06,15.5,3.7,17.4,180.9,101119.7,47.0,36.9,21.4,11.9,2.1,24.3,47.1,15.8,9.1,3.1
2012-07,17.3,2.3,13.0,220.9,101363.2,52.8,29.2,22.1,12.8,2.4,26.8,40.4,15.6,9.1,3.9
2012-08,18.9,1.2,13.3,212.8,101434.8,52.1,27.8,23.8,13.7,2.4,28.1,39.5,17.0,9.6,3.3
2012-09,15.1,1.4,14.3,222.5,101508.3,57.4,25.0,22.5,12.4,2.9,33.5,33.7,16.1,9.3,4.0
2012-10,11.1,2.9,13.0,166.1,100992.6,58.7,19.0,24.5,15.8,3.7,35.1,25.4,17.4,11.4,4.0
2012-11,7.8,2.4,13.3,208.3,100957.3,69.6,16.5,27.8,17.4,3.4,45.0,22.9,19.5,14.4,4.7
